"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"braæ";0,000584933173662479;0,00121472973902296;0;0,00243479504058921;0;0,00123365357026886;0;0;0;0;0,00475132860777837;0;0;0;0;0;0,00405601222615227;0;0
"brakuje";0,000936674292199236;0;0;0;0;0,00197549333288014;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
"brama";0;0;0;0;0,00359284016973848;0;0;0;0;0;0,0030932642985177;0;0;0;0;0;0;0;0
"brat";0,000936674292199236;0,00194518992894261;0;0;0;0;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
"brata";0;0;0,00193373435598014;0;0;0;0,00191261114057222;0,00218119979451441;0;0,0020665229812835;0,00550285548158921;0;0;0;0;0;0;0;0
"broniæ";0,0005067086146275;0;0,0014463580234799;0;0;0;0,00143055868062163;0,00163145253837597;0;0,0015456787461223;0,00137197389655808;0;0;0;0;0;0,00702718337261454;0;0
"broñ";0;0;0;0;0;0;0;0,00301581541644669;0;0,00285725859734166;0;0;0;0;0;0;0,00649503661639617;0;0
"brown";0;0,00237248174831526;0;0;0,00359284016973848;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budziæ";0,00189588904678381;0,00157487583930062;0;0,00157833457101211;0,00119248065486866;0,000799705127597384;0,00214101789871157;0;0;0,00578327527897679;0,00102666905904883;0;0;0,0160895897313623;0;0;0;0;0
"butelka";0,00114242965650495;0;0,00978291419711923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"byæ";0,00114242965650495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"ca³owaæ";0;0,00164202155839561;0;0;0,00248664547947299;0;0;0,00254578427343554;0;0;0;0;0;0;0;0;0;0,0192955151368548;0
"ca³y";0,00256511260638295;0,00242134774551654;0,00133125504562737;0,00291199859175298;0,00220010513071603;0,00295088284594553;0,00263342606841084;0,00225242926179761;0;0,00213400755168164;0,00252558100084735;0;0;0;0;0;0,00161698783590836;0,00569068680448437;0
"cedrik";0,00685457793902973;0;0;0;0;0,0120472088777581;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika";0,00799700759553468;0;0;0;0;0,0120472088777581;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedriku";0;0;0;0;0;0,00240944177555162;0;0,00367828710469262;0;0;0;0;0;0;0;0;0;0;0
